Product{name='Lenscale Quailbrush', quantity=40.8}
Product{name='INSTANT HAND SANITIZER', quantity=56.9}
Product{name='good neighbor pharmacy pain and fever', quantity=24.4}
Product{name='Darkleaves Mugwort', quantity=33.2}
Product{name='Guaiasorb DM', quantity=73.7}
Product{name='Midazolam', quantity=11.6}
Product{name='OrthoWash', quantity=31.3}
Product{name='Family Dollar Antiseptic Mouth Rinse Blue Mint', quantity=73.1}
Product{name='Alcohol Free HAND SANITIZER', quantity=12.5}
Product{name='Cold and Hot Pain Relief', quantity=31.2}
Product{name='Norpace', quantity=84.5}
Product{name='healthy accents pain relief', quantity=51.4}
Product{name='Good Neighbor Pharmacy ibuprofen', quantity=41.9}
Product{name='Vancomycin Hydrochloride', quantity=45.2}
Product{name='Salvax', quantity=81.4}
Product{name='Sulindac', quantity=34.6}
Product{name='Maximum Strength Laxative', quantity=42.1}
Product{name='AZITHROMYCIN', quantity=77.7}
Product{name='Givenchy Fluid Foundation Airy-light Mat Radiance SPF 20 Tint 8', quantity=34.1}
Product{name='Clonazepam', quantity=69.6}
Product{name='biochemistry PAIN RELIEF FOOT ACTIVE', quantity=2.8}
Product{name='Ludens Wild Honey Throat Drops', quantity=63.5}
Product{name='Metoclopramide Hydrochloride', quantity=47.9}
Product{name='ADVATE', quantity=48.8}
Product{name='Neurontin', quantity=99.5}
Product{name='Short/Giant/Western Ragweed Mixture', quantity=54.5}
Product{name='Tums', quantity=51.1}
Product{name='DR DENTAL CARE 750ML', quantity=62.1}
Product{name='Venlafaxine', quantity=80.9}
Product{name='Fenofibrate', quantity=37.7}
Product{name='Medi-Pads', quantity=86.7}
Product{name='NP Thyroid 30', quantity=69.6}
Product{name='Advanced relief', quantity=59.0}
Product{name='Plus White Xtra Whitening', quantity=78.1}
Product{name='Paroxetine', quantity=99.2}
Product{name='Salicylic Acid', quantity=47.5}
Product{name='Neutral Sodium Fluoride 0.2%', quantity=85.8}
Product{name='True Beige Always color stay-on Makeup Broad Spectrum SPF 15', quantity=28.2}
Product{name='Dexamethasone', quantity=7.3}
Product{name='Sugar Maple', quantity=95.2}
Product{name='sweet love hand sanitizer', quantity=95.8}
Product{name='Cultivated Rye Grass', quantity=53.4}
Product{name='Hay Fever', quantity=58.5}
Product{name='Chlor-Tabs', quantity=69.8}
Product{name='Tussin DM', quantity=31.1}
Product{name='No7 Lifting and Firming Foundation Sunscreen SPF 15 Porcelain', quantity=8.1}
Product{name='LBEL Couleur luxe rouge irresistible maximum hydration SPF 17', quantity=46.8}
Product{name='Heartburn Relief', quantity=12.9}
Product{name='Griseofulvin', quantity=55.2}
Product{name='levocetirizine dihydrochloride', quantity=92.7}
Product{name='Temazepam', quantity=69.0}
Product{name='Ailanthus', quantity=95.1}
Product{name='Oxygen', quantity=2.0}
Product{name='Donnatal', quantity=30.3}
Product{name='Hamamelis Aesculus Varicose Relief', quantity=20.0}
Product{name='Nifedipine', quantity=93.5}
Product{name='Velvet Grass', quantity=98.0}
Product{name='Losartan Potassium', quantity=94.9}
Product{name='Tramadol Hydrochloride and Acetaminophen', quantity=37.9}
Product{name='Amlodipine Besylate and Benazepril Hydrochloride', quantity=83.6}
Product{name='Hydrochlorothiazide', quantity=94.9}
Product{name='topiramate', quantity=24.6}
Product{name='ARTISTRY IDEAL RADIANCE UV Protect SPF 50 PLUS Broad Spectrum Sunscreen', quantity=29.5}
Product{name='Axe Sharp Focus Invisible Solid', quantity=91.6}
Product{name='Doxycycline Hyclate', quantity=65.9}
Product{name='Triple Antibiotic Plus Pain Relief', quantity=18.1}
Product{name='POLYCIN', quantity=99.4}
Product{name='QUETIAPINE FUMARATE', quantity=58.4}
Product{name='Peptic Relief Cherry', quantity=100.0}
Product{name='Phisoderm Clear Confidence Daily Gel Face Wash', quantity=10.6}
Product{name='BETHANECHOL CHLORIDE', quantity=22.7}
Product{name='Micardis HCT', quantity=69.8}
Product{name='good sense milk of magnesia', quantity=1.6}
Product{name='DERMAL QUENCH CLEAR ANTI-ACNE TREATMENT', quantity=43.1}
Product{name='Daily Moisturizing - Oatmeal', quantity=14.5}
Product{name='OXYGEN', quantity=84.9}
Product{name='Gabapentin', quantity=43.9}
Product{name='itraconazole', quantity=16.5}
Product{name='ACCURETIC', quantity=13.7}
Product{name='Hydrochlorothiazide', quantity=15.0}
Product{name='Stool Softener', quantity=93.9}
Product{name='Nortriptyline Hydrochloride', quantity=84.1}
Product{name='Anefrin Nasal', quantity=24.0}
Product{name='Personal Care', quantity=15.9}
Product{name='SENSAI FLUID FINISH FF202', quantity=96.0}
Product{name='Helium Oxygen', quantity=80.6}
Product{name='Red Alder', quantity=69.9}
Product{name='Hemorrhoidal', quantity=45.2}
Product{name='Cortisone Acetate', quantity=33.7}
Product{name='Maalox Antacid', quantity=15.2}
Product{name='HEADACHE', quantity=35.7}
Product{name='Smart Sense Nicotine', quantity=73.7}
Product{name='Pleo San Trich', quantity=77.6}
Product{name='LACURA', quantity=27.1}
Product{name='Alcohol', quantity=53.5}
Product{name='AZACTAM', quantity=71.6}
Product{name='CANIS LUPUS FAMILIARIS SKIN', quantity=29.0}
Product{name='SCRUBS Solar Guard Sunscreen Wipe', quantity=22.0}
Product{name='Nicotrol', quantity=1.6}
Product{name='Cold Multi-Symptom Daytime Rapid Release', quantity=75.3}
Product{name='Diltiazem Hydrochloride', quantity=26.0}
Product{name='femhrt', quantity=62.6}
Product{name='Zicam', quantity=6.6}
Product{name='Dextrose', quantity=80.5}
Product{name='CLARINS Broad Spectrum SPF 20 Super Restorative Tinted Tint 05', quantity=21.4}
Product{name='Oxygen', quantity=64.6}
Product{name='Lidocaine Hydrochloride and Epinephrine', quantity=58.6}
Product{name='Multi-Symptom Cold Relief', quantity=46.7}
Product{name='Psoriasin', quantity=16.1}
Product{name='Losartan Potassium', quantity=65.1}
Product{name='Metronidazole', quantity=92.8}
Product{name='Namenda', quantity=37.4}
Product{name='Regular Strength Pain Relief', quantity=49.8}
Product{name='CAULIFLOWER', quantity=29.7}
Product{name='flormar Foundation Sunscreen Broad Spectrum SPF 20 LF04 SOFT IVORY', quantity=81.9}
Product{name='NovoSeven', quantity=51.2}
Product{name='Terrasil Cold Sore Treatment', quantity=58.6}
Product{name='Fluconazole', quantity=75.8}
Product{name='Prevacid', quantity=59.3}
Product{name='Allergy and Red Eye Relief', quantity=64.8}
Product{name='Army Health Pain Reliever', quantity=66.5}
Product{name='OCUFEN', quantity=59.2}
Product{name='DAY CREAM REPLENISHING HYDRATOR', quantity=12.4}
Product{name='Glipizide and Metformin Hydrochloride', quantity=71.1}
Product{name='acetaminophen pm', quantity=66.0}
Product{name='Savella', quantity=82.2}
Product{name='SPF-40 facial moisturizer', quantity=95.8}
Product{name='Gas Relief', quantity=97.9}
Product{name='Kroger Baby', quantity=15.1}
Product{name='oxycodone hydrochloride', quantity=37.9}
Product{name='AMMONIUM LACTATE', quantity=46.2}
Product{name='Tri-Estarylla', quantity=57.2}
Product{name='LBEL EFFET PARFAIT Polvos Compactos de Larga Duracion para rostro FPS 15 /Long Lasting Compact SPF 15', quantity=23.2}
Product{name='Colgate Junior Bubble Fruit', quantity=65.6}
Product{name='Coast Maple', quantity=36.3}
Product{name='LBEL EFFET PARFAIT DUAL-USE COMPACT YOUTHFUL LOOKING SKIN SPF7', quantity=67.2}
Product{name='Cough', quantity=34.3}
Product{name='Body Luxuries Coconut Vanilla Waterless Anti-bacterial Hand Sanitizer', quantity=69.2}
Product{name='Xylocaine', quantity=17.5}
Product{name='CD DIORSKIN STAR Studio Makeup Spectacular Brightening with sunscreen Broad Spectrum SPF30 060', quantity=38.1}
Product{name='Injury/Trauma Complex', quantity=99.4}
Product{name='White Poplar', quantity=73.7}
Product{name='Hamster Epithelium', quantity=6.5}
Product{name='Germicida', quantity=22.5}
Product{name='Codituss DM', quantity=78.8}
Product{name='careone childrens pain and fever', quantity=85.7}
Product{name='Australian Gold', quantity=59.9}
Product{name='Neutrogena MoistureShine SPF20', quantity=1.5}
Product{name='Cerezyme', quantity=45.0}
Product{name='Bisoprolol Fumarate and Hydrochlorothiazide', quantity=15.6}
Product{name='Altipres', quantity=57.7}
Product{name='Venlafaxine hydrochloride', quantity=49.0}
Product{name='Famciclovir', quantity=70.8}
Product{name='Dextroamphetamine Saccharate and Amphetamine Aspartate and Dextroamphetamine Sulfate and Amphetamine Sulfate', quantity=10.1}
Product{name='Hydrocortisone', quantity=35.5}
Product{name='Potassium Chloride', quantity=66.8}
Product{name='Zyprexa', quantity=44.3}
Product{name='Tag Alder Pollen', quantity=90.6}
Product{name='Sumatriptan Succinate', quantity=42.7}
Product{name='Aspirin', quantity=38.3}
Product{name='Triamterene and Hydrochlorothiazide', quantity=23.4}
Product{name='MuSkel-S', quantity=5.4}
Product{name='Oil Free Acne Wash', quantity=29.7}
Product{name='Quinidine Gluconate', quantity=5.1}
Product{name='Amoxicillin', quantity=36.2}
Product{name='DIOR SNOW PROTECTION UV', quantity=6.5}
Product{name='Allergy Relief Now Hay Fever Remedy', quantity=36.5}
Product{name='Clindamycin hydrochloride', quantity=18.7}
Product{name='Mycophenolate Mofetil', quantity=11.0}
Product{name='Venlafaxine Hydrochloride', quantity=63.6}
Product{name='Handy Solutions Rubbing Alcohol', quantity=7.2}
Product{name='Risperidone', quantity=85.6}
Product{name='ESIKA', quantity=21.4}
Product{name='dg health pain relief', quantity=53.6}
Product{name='La Roche Posay Laboratoire Dermatologique Pigmentclar Daily Dark Spot Correcting Moisturizer Broad Spectrum SPF 30 Sunscreen', quantity=3.8}
Product{name='Pain Relief Aspirin', quantity=74.7}
Product{name='Fluorouracil', quantity=26.1}
Product{name='Methimazole', quantity=31.8}
Product{name='Carbidopa and Levodopa', quantity=44.2}
Product{name='Fenoprofen', quantity=14.3}
Product{name='Leader', quantity=14.1}
Product{name='SkinCeuticals Physical Fusion UV Defense Broad Spectrum SPF 50 Sunscreen', quantity=90.3}
Product{name='YES to coconut', quantity=12.8}
Product{name='Nigrospora sphaerica', quantity=57.5}
Product{name='Clinpro 5000', quantity=81.8}
Product{name='Prednicarbate', quantity=4.4}
Product{name='Pindolol', quantity=15.0}
Product{name='Triamterene and Hydrochlorothiazide', quantity=81.3}
Product{name='INFANTS ADVIL', quantity=31.5}
Product{name='Levocarnitine', quantity=45.7}
Product{name='Ranitidine', quantity=63.6}
Product{name='LBEL divine lip gloss SPF 15', quantity=48.3}
Product{name='Menstrual Complete', quantity=7.9}
Product{name='PrismaSol', quantity=96.2}
Product{name='MENOMUNE - A/C/Y/W-135 COMBINED', quantity=91.7}
Product{name='Nicardipine HCl', quantity=83.4}
Product{name='Haben Herb', quantity=70.7}
Product{name='Molluscum Control', quantity=73.9}
Product{name='Haloperidol', quantity=23.8}
Product{name='WELLBUTRIN', quantity=26.0}
Product{name='up and up', quantity=53.3}
Product{name='Fenofibric Acid', quantity=91.6}
Product{name='Alprazolam', quantity=4.0}
Product{name='ShopRite Ni Calm', quantity=30.3}
Product{name='Oxygen', quantity=24.5}
Product{name='Justice Blue berry Scent ANTI BAC HAND SANITIZER', quantity=5.8}
Product{name='Athletes Foot', quantity=23.4}
Product{name='Argentum 8', quantity=73.4}
Product{name='Metoprolol Tartrate', quantity=60.9}
Product{name='Glycopyrrolate', quantity=81.3}
Product{name='Pharbetol', quantity=11.6}
Product{name='TRIHEXYPHENIDYL HYDROCHLORIDE', quantity=29.8}
Product{name='Levetiracetam', quantity=82.5}
Product{name='Little Colds Decongestant Plus Cough', quantity=33.9}
Product{name='Pravastatin Sodium', quantity=65.7}
Product{name='tramadol hydrochloride', quantity=14.5}
Product{name='Amrix', quantity=48.1}
Product{name='Risperidone', quantity=98.3}
Product{name='Treatment Set TS330370', quantity=2.5}
Product{name='Amyvid', quantity=65.4}
Product{name='Hydrochlorothiazide', quantity=89.5}
Product{name='Hydrocodone Bitartrate And Acetaminophen', quantity=91.9}
Product{name='Atenolol and Chlorthalidone', quantity=98.0}
Product{name='Intense Care Snail', quantity=41.7}
Product{name='PLANTAGO LANCEOLATA POLLEN', quantity=85.6}
Product{name='INSTANT HAND SANITIZER', quantity=80.0}
Product{name='LISINOPRIL', quantity=59.8}
Product{name='Trandolapril', quantity=87.7}
Product{name='Toasted Vanilla Kit', quantity=80.7}
Product{name='Hydrocortisone', quantity=93.1}
Product{name='Lovastatin', quantity=91.9}
Product{name='Moexipril Hydrochloride', quantity=90.6}
Product{name='Prempro', quantity=8.1}
Product{name='Icee White Cherry Scented Hand Sanitizer', quantity=73.5}
Product{name='Venlafaxine', quantity=37.2}
Product{name='Epinastine Hydrochloride', quantity=42.2}
Product{name='Bisque Foundation SPF 20', quantity=66.7}
Product{name='Dandelion Pollen', quantity=18.4}
Product{name='Suphedrine PE', quantity=86.4}
Product{name='SINGULAIR', quantity=84.1}
Product{name='Diphenoxylate Hydrochloride and Atropine Sulfate', quantity=97.6}
Product{name='Instant Hand Sanitizer', quantity=75.7}
Product{name='BlancTis Essence', quantity=70.4}
Product{name='Atovaquone and Proguanil Hydrochloride', quantity=99.6}
Product{name='leader anti-diarrheal', quantity=35.9}
Product{name='Toviaz', quantity=12.7}
Product{name='flormar REBORN BB SUNSCREEN BROAD SPECTRUM SPF 30 CP19 Natural Beige', quantity=73.0}
Product{name='Good Sense Fiber Laxative', quantity=64.6}
Product{name='Ceftriaxone', quantity=56.6}
Product{name='Gas Relief', quantity=34.0}
Product{name='YOUTH SURGE', quantity=72.3}
Product{name='KANKA', quantity=6.6}
Product{name='INVANZ', quantity=16.7}
Product{name='Maximum Strength Flu HBP', quantity=84.7}
Product{name='Piroxicam', quantity=88.3}
Product{name='E.O.L.', quantity=95.8}
Product{name='RITUALS precious mineral foundation broad spectrum SPF 15 sunscreen SHADE 11', quantity=22.5}
Product{name='Bayer Migraine Formula', quantity=73.2}
Product{name='SUPER ORIGIN CUSHION COMPLETE CONTROL', quantity=62.1}
Product{name='Ciprofloxacin Hydrochloride', quantity=54.5}
Product{name='KE-53PS Hand Sanitizer', quantity=26.6}
Product{name='FENOFIBRATE', quantity=67.8}
Product{name='LET ME CLARIFY', quantity=86.5}
Product{name='R-Gene', quantity=35.3}
Product{name='Suntan Lotion', quantity=83.2}
Product{name='Food - Plant Source, Peach Prunus persica', quantity=73.0}
Product{name='SUNMARK COLD AND COUGH DM', quantity=91.3}
Product{name='Cycloserine', quantity=86.1}
Product{name='Risperidone', quantity=66.7}
Product{name='venlafaxine', quantity=24.8}
Product{name='Niravam', quantity=51.0}
Product{name='Dicyclomine Hydrochloride', quantity=83.5}
Product{name='Synthroid', quantity=41.4}
Product{name='Ignatia Amara Kit Refill', quantity=82.5}
Product{name='Simvastatin', quantity=62.7}
Product{name='Your Logo Here Burn First Aid', quantity=51.0}
Product{name='Etodolac', quantity=61.5}
Product{name='Little Noses Decongestant Nose Drops', quantity=6.5}
Product{name='Losartan Potassium', quantity=92.7}
Product{name='ORCHID BY H E B', quantity=8.2}
Product{name='Clindamycin Palmitate Hydrochloride', quantity=22.1}
Product{name='Divalproex Sodium', quantity=40.8}
Product{name='Lithium Carbonate', quantity=96.5}
Product{name='Hydrochlorothiazide', quantity=40.4}
Product{name='Nobacco Remedy Water', quantity=18.7}
Product{name='Pistachio', quantity=53.7}
Product{name='Benzonatate', quantity=4.4}
Product{name='LidoPro', quantity=10.5}
Product{name='Metoprolol tartrate', quantity=79.6}
Product{name='Diltiazem Hydrochloride', quantity=1.5}
Product{name='Methadone Hydrochloride', quantity=95.3}
Product{name='Nitrogen', quantity=21.2}
Product{name='AMOXICILLIN', quantity=13.6}
Product{name='Anpitua Stim', quantity=75.5}
Product{name='Diclofenac Sodium D/R', quantity=83.4}
Product{name='lisinopril', quantity=73.6}
Product{name='RABBIT', quantity=19.8}
Product{name='Methadone Hydrochloride', quantity=71.1}
Product{name='Etodolac', quantity=57.2}
Product{name='Pentasa', quantity=75.5}
Product{name='Lyrica', quantity=10.7}
Product{name='Badger SPF 35 All Season Face', quantity=49.7}
Product{name='Hydromorphone Hydrochloride', quantity=41.9}
Product{name='Dorzolamide HCl', quantity=29.3}
Product{name='Publix Sport', quantity=19.9}
Product{name='Double Antibiotic', quantity=62.0}
Product{name='SHISEIDO SUN PROTECTION FOUNDATION', quantity=18.8}
Product{name='DG Health Gas Relief', quantity=58.0}
Product{name='Phenobarbital', quantity=54.8}
Product{name='cold relief', quantity=32.5}
Product{name='Tasigna', quantity=17.4}
Product{name='CLARINS HydraQuench Tinted Moisturizer Broad Spectrum SPF 6 01 NATUREL', quantity=51.3}
Product{name='DayTime Cold and Flu', quantity=39.3}
Product{name='Diphenhydramine Hydrochloride', quantity=30.4}
Product{name='Levaquin', quantity=95.6}
Product{name='Felodipine', quantity=15.2}
Product{name='Dextrose', quantity=51.8}
Product{name='Felbamate', quantity=32.2}
Product{name='Warfarin Sodium', quantity=18.2}
Product{name='Tolterodine Tartrate', quantity=28.8}
Product{name='Morphine Sulfate', quantity=15.3}
Product{name='ALPRAZOLAM', quantity=95.6}
Product{name='Snowberry', quantity=40.8}
Product{name='Ergocalciferol', quantity=4.7}
Product{name='PUTTO ATO SECRET UV FACE', quantity=64.1}
Product{name='Select Brand Tab Tussin', quantity=20.9}
Product{name='cetirizine hydrochloride', quantity=82.6}
Product{name='Divas', quantity=19.5}
Product{name='Venlafaxine Hydrochloride', quantity=72.4}
Product{name='FeverALL Infants', quantity=96.3}
Product{name='Dutoprol', quantity=77.0}
Product{name='HurriCaine', quantity=52.7}
Product{name='Bioelements', quantity=14.0}
Product{name='Australian Gold', quantity=73.8}
Product{name='Cymbalta', quantity=96.5}
Product{name='NAPROXEN', quantity=31.5}
Product{name='Vida Mia Hand Sanitizer', quantity=16.8}
Product{name='AVAGE', quantity=40.2}
Product{name='Mango Blossom', quantity=16.0}
Product{name='NEOMYCIN AND POLYMYXIN B SULFATES AND GRAMICIDIN', quantity=83.0}
Product{name='allergy relief', quantity=67.2}
Product{name='ALLERGY EYE DROPS', quantity=72.6}
Product{name='Burkhart', quantity=18.9}
Product{name='TAZICEF', quantity=15.0}
Product{name='Minocycline Hydrochloride', quantity=27.0}
Product{name='Carrington Antifungal', quantity=76.2}
Product{name='Silver Ragweed Pollen', quantity=72.9}
Product{name='Divalproex Sodium', quantity=14.3}
Product{name='Virostat', quantity=22.6}
Product{name='berkley and jensen nicotine', quantity=17.4}
Product{name='ADVIL PM', quantity=13.7}
Product{name='Pleo Sanuvis', quantity=59.0}
Product{name='Alphanate', quantity=24.4}
Product{name='Metoprolol Tartrate', quantity=60.0}
Product{name='Citalopram', quantity=19.4}
Product{name='Slenderiix', quantity=82.0}
Product{name='Terazosin', quantity=88.3}
Product{name='ERYTHROMYCIN', quantity=63.4}
Product{name='Anticavity', quantity=2.8}
Product{name='Methylphenidate Hydrochloride', quantity=1.5}
Product{name='12 Hour Nasal', quantity=42.2}
Product{name='FaLessa', quantity=95.5}
Product{name='SINGULAIR', quantity=61.4}
Product{name='Oxygen', quantity=30.0}
Product{name='pain and fever', quantity=42.9}
Product{name='TopCare Heartburn Relief', quantity=72.8}
Product{name='Extra Strength Mapap', quantity=34.8}
Product{name='Aspergillus repens', quantity=16.1}
Product{name='Childrens TYLENOL', quantity=65.4}
